LoanRange,BusinessName,Address,City,State,Zip,NAICSCode,BusinessType,RaceEthnicity,Gender,Veteran,NonProfit,JobsReported,DateApproved,Lender,CD
"e $150,000-350,000",125 BROAD LLC,125 MARTIN LUTHER KING JR BLVD,SAVANNAH,GA,31401,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,,05/03/2020,"Wells Fargo Bank, National Association",GA-01
"e $150,000-350,000",125 FOX AND JANE INC.,125 E Costilla St,COLORADO SPRINGS,CO,80903,812112,Subchapter S Corporation,Unanswered,Unanswered,Non-Veteran,,15,04/15/2020,"JPMorgan Chase Bank, National Association",CO-05
"d $350,000-1 million",125 W 44 RESTAURANT ASSOCIATES LLC,125 West  44TH ST,NEW YORK,NY,10036,424310,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,73,04/30/2020,City National Bank,NY-12
"e $150,000-350,000","125-127 MAIN STREET, CORP.",74100 West Front Street,GREENPORT,NY,11944,314999,Corporation,Unanswered,Unanswered,Unanswered,,26,04/07/2020,BNB Bank,NY-01
"e $150,000-350,000","1250 BAYSHORE HIGHWAY, LLC",858 W ELLIOT RD STE 102,TEMPE,AZ,85284,531312,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,,04/27/2020,Pacific Western Bank,AZ-09
"e $150,000-350,000","1250 FRENCH ROAD, INC.",1250 French Road,DEPEW,NY,14043,722511,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,42,04/13/2020,KeyBank National Association,NY-26
"e $150,000-350,000",1250 OCEAN DRIVE LLC,1250 OCEAN DR,MIAMI BEACH,FL,33139,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,60,04/05/2020,City National Bank of Florida,FL-24
"e $150,000-350,000",1253 144TH AVENUE; P.O. BOX 130,1253 144th Avenue; P.O. Box 130,Moline,MI,49335,923110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,35,04/16/2020,TCF National Bank,MI-06
"d $350,000-1 million",1257 HYLAN BLVD AUTO LLC,1257 Hylan Blvd 0.0,Staten Island,NY,10305,441110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,33,04/09/2020,"JPMorgan Chase Bank, National Association",NY-11
"e $150,000-350,000",126 CLARKE MARKET CORP,126 Clarke Street,Brentwood,NY,11717,445110,Subchapter S Corporation,Hispanic,Unanswered,Unanswered,,45,08/05/2020,Popular Bank,NY-02
"e $150,000-350,000",126 PIZZA LLC,12627 METCALF AVE,OVERLAND PARK,KS,66213,722511,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,40,04/08/2020,"Community Banks of Colorado, A Division of",KS-03
"e $150,000-350,000",1260 BAKE LLC,1260 Lexington Avenue,NEW YORK,NY,10028,722513,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,29,05/28/2020,Valley National Bank,NY-12
"d $350,000-1 million",1260 BROADWAY RESTAURANT LLC,49 West 32nd Street 0.0,New York,NY,10001,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,65,04/10/2020,"JPMorgan Chase Bank, National Association",NY-10
"e $150,000-350,000",127 EAST RESTAURANT CORP,127 E 47th St,New York,NY,10017,722410,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,22,04/28/2020,American Express National Bank,NY-12
"e $150,000-350,000",127 NORTH STREET LOGANVILLE LLC.,127 North Street,York,PA,17403,453998,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,15,04/28/2020,Manufacturers and Traders Trust Company,PA-10
c $1-2 million,"127 PS FEE OWNER, LLC",127 Public Square Suite 4000,CLEVELAND,OH,44114,721110,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,158,04/09/2020,The Huntington National Bank,OH-11
c $1-2 million,"1271 ASSOCIATES, INC. DBA WELDERS AND PRESSES, INC.",27295 LUCKINO DR,CHESTERFIELD,MI,48047,333992,Corporation,Unanswered,Male Owned,Non-Veteran,,30,05/01/2020,"JPMorgan Chase Bank, National Association",MI-10
"e $150,000-350,000","1271972, LLC",9 ELLSWORTH RD,WEST HARTFORD,CT,6107,621111,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,29,04/28/2020,"Webster Bank, National Association",CT-01
"e $150,000-350,000",1275 BROADWAY LLC,37-11 Prince Street 2C,FLUSHING,NY,11354,531390,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,,05/18/2020,MidFirst Bank,NY-06
"e $150,000-350,000",1279 1ST AVENUE LLC,1279 1ST AVENUE,NEW YORK,NY,10065,722511,Limited  Liability Company(LLC),Asian,Female Owned,Non-Veteran,,40,04/27/2020,New Millennium Bank,NY-12
"e $150,000-350,000",128 BEDFORD ST. CORP.,128 BEDFORD ST,STAMFORD,CT,6901,999990,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,20,05/01/2020,"JPMorgan Chase Bank, National Association",CT-04
"e $150,000-350,000",128 MAC CORP.,128 East  7TH ST,NEW YORK,NY,10009,722511,Corporation,Unanswered,Unanswered,Unanswered,,26,05/02/2020,BNB Bank,NY-12
"d $350,000-1 million","128 MAIN STREET, LLC",128 Main Street,GROTON,MA,1450,721110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,114,04/29/2020,Enterprise Bank and Trust Company,MA-03
c $1-2 million,128 PLUMBING & HEATING INC.,78 Foundry Street,WAKEFIELD,MA,1880,238220,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,74,04/07/2020,Wakefield Co-Operative Bank,MA-06
"e $150,000-350,000","128, LLC",2492 Parkway,PIGEON FORGE,TN,37863,531190,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,45,04/08/2020,Mountain Commerce Bank,TN-01
"e $150,000-350,000",129 CANAL STREET CORP,129 Canal St,Sylvan beach,NY,13157,722511,Corporation,Unanswered,Unanswered,Unanswered,,36,06/30/2020,Northern CU,NY-22
"d $350,000-1 million",1291 PUB INC.,1291 Third Avenue,New York,NY,10021,722410,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,33,05/03/2020,"Citibank, N.A.",NY-12
"e $150,000-350,000","12A BUOY, LLC",22 Fishermans Wharf N/A,FORT PIERCE,FL,34950,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,60,04/15/2020,"South State Bank, National Association",FL-18
"e $150,000-350,000",12FIVE CAPITAL LLC,8 W. BURLINGTON AVE #301,LA GRANGE,IL,60525,522298,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,12,04/08/2020,1st Source Bank,IL-03
b $2-5 million,12STONE CHURCH INC,1322 BUFORD DR,LAWRENCEVILLE,GA,30043,813110,Corporation,Unanswered,Male Owned,Unanswered,,361,04/11/2020,Truist Bank d/b/a Branch Banking & Trust Co,GA-07
c $1-2 million,12TH STREET CANTINA INC,3312 SPRING GARDEN ST,PHILADELPHIA,PA,19104,722310,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,68,04/11/2020,"PNC Bank, National Association",PA-03
"e $150,000-350,000",12TH STREET GROUP INC,549 ROOSEVELT RD,GLEN ELLYN,IL,60137,722511,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,0,07/17/2020,"Associated Bank, National Association",IL-06
"d $350,000-1 million","12TH STREET OPERATIONS, LLC",900 S 12TH ST,ROCKY FORD,CO,81067,623110,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,0,04/28/2020,BBVA USA,CO-04
"e $150,000-350,000",12TH WONDER LLC,5890 Stoneridge Dr 216,PLEASANTON,CA,94588,541511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,19,05/01/2020,"JPMorgan Chase Bank, National Association",CA-11
"e $150,000-350,000","12TWENTY, INC.",725 ARIZONA AVE SUITE 103,SANTA MONICA,CA,90401,443142,Corporation,Unanswered,Unanswered,Unanswered,,20,04/13/2020,City National Bank,CA-33
"e $150,000-350,000",13 BONES LLC,130 BLEVINS STORE RD,MOUNT AIRY,NC,27030,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,42,04/04/2020,Surrey Bank & Trust,NC-05
b $2-5 million,"13 COINS HOLDINGS, LLC",2107 Elliot Ave. Ste. 304,SEATTLE,WA,98121,722511,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,271,04/28/2020,Banner Bank,WA-07
"e $150,000-350,000",13 EAST LLC,1520 N 13th,BOISE,ID,83707,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,47,04/05/2020,Idaho First Bank,ID-02
"e $150,000-350,000","13 MARKETING GROUP, INC.",1334 MARBLE RD,EAST LANSING,MI,48823,811111,Corporation,White,Male Owned,Non-Veteran,,20,04/15/2020,The Huntington National Bank,MI-08
"d $350,000-1 million","13 RATTLES, INC. DBA R13 AND DENIMIST",34 HOWARD ST FL 5,NEW YORK,NY,10013,424330,Subchapter S Corporation,Unanswered,Male Owned,Non-Veteran,,30,04/16/2020,"JPMorgan Chase Bank, National Association",NY-10
"e $150,000-350,000",13 RED MEDIA LTD,2500 Chandler Ave Suite 1,Las Vegas,NV,89120,512110,Corporation,Unanswered,Unanswered,Unanswered,,15,04/15/2020,Cross River Bank,NV-03
"d $350,000-1 million",13 RME LLC,1184 Highway 61,WAPELLO,IA,52653,541611,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,11,04/08/2020,Mediapolis Savings Bank,IA-02
"e $150,000-350,000",13 WATER STREET GROUP,13 WATER ST,MATTAPOISETT,MA,2739,518210,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,30,04/11/2020,"Webster Bank, National Association",MA-09
"e $150,000-350,000",13 WEST RANGE LLC,101 mary ellen dr,CHARLESTON,SC,29403,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,13,04/08/2020,Truist Bank d/b/a Branch Banking & Trust Co,SC-06
"e $150,000-350,000","130 CRABCO NJ, LLC",183 Rt. 130,BORDENTOWN,NJ,8505,722511,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,12,04/07/2020,"TD Bank, National Association",NJ-03
"d $350,000-1 million",130 GRAND HOLDINGS INC.,5030 GEARY BLVD,SAN FRANCISCO,CA,94118,551112,Corporation,Unanswered,Unanswered,Unanswered,,,05/03/2020,"Wells Fargo Bank, National Association",CA-12
"e $150,000-350,000",130 MAIN STREET LLC DBA WINSTON,130 E Main St,Mount Kisco,NY,10549,,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,10,05/01/2020,"JPMorgan Chase Bank, National Association",NY-18
"d $350,000-1 million",130 NE 40TH STREET LLC,130 NORTHEAST  40TH ST,MIAMI,FL,33137,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,145,04/15/2020,Ocean Bank,FL-24
"d $350,000-1 million",130 TWINBRIDGE DRIVE INC,130 Twinbridge Dr,Pennsauken,NJ,8110,492110,Corporation,Unanswered,Unanswered,Unanswered,,92,04/10/2020,Republic First Bank d/b/a Republic Bank,NJ-01
"e $150,000-350,000",130 W. 3RD CAFE INC.,475 Winding Rd. N,ARDSLEY,NY,10502,,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,30,05/01/2020,"JPMorgan Chase Bank, National Association",NY-16
"d $350,000-1 million",130-10 FOOD CORP.,130-10 METROPOLITAN AVE,RICHMOND HILL,NY,11418,445110,Corporation,Unanswered,Unanswered,Unanswered,,0,05/01/2020,Signature Bank,NY-06
"d $350,000-1 million","1300 BATTERY, INC.",1300 Battery Street,SAN FRANCISCO,CA,94111,722511,Corporation,Unanswered,Unanswered,Unanswered,,60,04/15/2020,Umpqua Bank,CA-12
b $2-5 million,"1300 CAMPBELL LANE OPERATING COMPANY, LLC",4600 LENA DR,MECHANICSBURG,PA,17055,523991,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,273,04/15/2020,Orrstown Bank,PA-10
b $2-5 million,"1300 NICOLLET, L.L.C.",1300 Nicollet Mall,MINNEAPOLIS,MN,55403,721110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,228,05/14/2020,"Village Bank and Trust, National Association",MN-05
c $1-2 million,"1300 SOUTH MIAMI EMPLOYER, LLC",805 S. MIAMI AVE,MIAMI,FL,33130,721110,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,244,04/07/2020,East West Bank,FL-27
"d $350,000-1 million","13000 VICTORY BOULEVARD, LLC","9200 Sunset Blvd., Suite 700",West Hollywood,CA,90069,623110,Limited  Liability Company(LLC),White,Unanswered,Unanswered,,119,05/18/2020,"Harvest Small Business Finance, LLC",CA-28
"e $150,000-350,000","1301 EAST BROADWAY, INC.",1640 S Stapley Drive #129,MESA,AZ,85204,722511,Corporation,Unanswered,Unanswered,Unanswered,,41,04/13/2020,"BOKF, National Association",AZ-05
"e $150,000-350,000","1301 SENOR SALSA, LLC",1301 OLD YORK RD,ABINGTON,PA,19001,722513,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,27,04/28/2020,Mid Penn Bank,PA-04
"d $350,000-1 million",1305 WALNUT STREET CORPORATION,1305 WALNUT ST,PHILADELPHIA,PA,19107,721110,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,61,04/07/2020,"Wilmington Savings Fund Society, FSB",PA-03
"e $150,000-350,000",13050SUSHI LLC,13050 SAN BLVD,LOS ANGELES,CA,90049,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,13,05/13/2020,"U.S. Bank, National Association",CA-30
"e $150,000-350,000",1309 HEALTHCARE MANAGEMENT INC,211 BOULEVARD OF THE AMERICAS,LAKEWOOD,NJ,8701,621610,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,30,04/30/2020,"Webster Bank, National Association",NJ-04
"e $150,000-350,000",131 DRIGGS SUPERMARKET INC-SBA SMALL 7A TERM,131 DRIGGS AVENUE,BROOKLYN,NY,11222,445110,Corporation,Unanswered,Unanswered,Unanswered,,33,05/03/2020,"TD Bank, National Association",NY-12
"e $150,000-350,000",131 MAIN BILTMORE LLC,308 THETFORD ST,ASHEVILLE,NC,28803,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,72,04/11/2020,Aquesta Bank,NC-11
"d $350,000-1 million",131 MAIN BLAKENEY LLC,9886 REA RD,CHARLOTTE,NC,28277,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,85,04/11/2020,Aquesta Bank,NC-09
"d $350,000-1 million",131 MAIN LKN LLC,17830 STATESVILLE RD,CORNELIUS,NC,28031,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,79,04/11/2020,Aquesta Bank,NC-12
"e $150,000-350,000",131 MAIN SOUTHPARK LLP,5970 FAIRVIEW RD,CHARLOTTE,NC,28210,722511,Limited Liability Partnership,Unanswered,Unanswered,Unanswered,,66,04/11/2020,Aquesta Bank,NC-09
"e $150,000-350,000",1311 ENTERPRISES LLC,FIFTH AVENUE FINANCIAL ATTN ACCOUNTING 530 5TH AVE FL 14,NEW YORK,NY,10036,561499,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,6,05/01/2020,"JPMorgan Chase Bank, National Association",NY-12
"d $350,000-1 million",1312 DELIVERY 1 INC,1312 39th St,Brooklyn,NY,11218,,,Unanswered,Unanswered,Unanswered,,,05/01/2020,"JPMorgan Chase Bank, National Association",NY-09
"d $350,000-1 million",1313 CORP,1313 SHRIMPBOAT LANE,MOUNT PLEASANT,SC,29464,722511,Corporation,Unanswered,Unanswered,Unanswered,,67,04/29/2020,Pinnacle Bank,SC-01
"e $150,000-350,000",1313 LINDA STREET,1313 Linda Street,ROCKY RIVER,OH,44116,722511,Subchapter S Corporation,White,Male Owned,Non-Veteran,,20,04/09/2020,The Huntington National Bank,OH-16
"e $150,000-350,000",1315-21 SANSOM ST LLC,1315 SANSOM ST,PHILADELPHIA,PA,19107,999990,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,48,05/03/2020,"PNC Bank, National Association",PA-03
"e $150,000-350,000",1318 JFR INC.,1318 JOHNSON FERRY RD,MARIETTA,GA,30068,722511,Corporation,Unanswered,Unanswered,Unanswered,,32,04/11/2020,"South State Bank, National Association",GA-06
"d $350,000-1 million",1318BRAUHAUS INC,1318 Chestnut St,Philadelphia,PA,19107,722410,Corporation,White,Male Owned,Unanswered,,118,04/07/2020,Mid Penn Bank,PA-03
"d $350,000-1 million","132 7TH AVE REST, LLC",132 7TH AVE,NEW YORK,NY,10011,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,48,04/27/2020,"JPMorgan Chase Bank, National Association",NY-10
"e $150,000-350,000",132 DEGREES LLC,318 WILLIAM ST,FREDERICKSBURG,VA,22401,722511,Corporation,White,Male Owned,Unanswered,,44,04/04/2020,Virginia Partners Bank,VA-01
"d $350,000-1 million",132 W 27TH STREET LLC,132 West 27th Street,New York,NY,10001,722515,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,58,04/13/2020,"Readycap Lending, LLC",NY-10
"d $350,000-1 million","1320 AUTOMOTO, LLC",507 PEACE WAY,POINCIANA,FL,34759,811111,Self-Employed Individuals,Unanswered,Unanswered,Unanswered,,3,06/18/2020,"Kabbage, Inc.",FL-09
"e $150,000-350,000",1320 POST ROAD ASSOCIATES,1320 BOSTON POST ROAD,MADISON,CT,6443,561499,Corporation,Unanswered,Unanswered,Unanswered,,,05/03/2020,"Wells Fargo Bank, National Association",CT-02
"e $150,000-350,000",1324 VINE LLC,1324 Vine ST,Cincinnati,OH,45202,999990,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,65,05/03/2020,The Huntington National Bank,OH-01
"e $150,000-350,000",1325 CCPJ CORP,1325 5TH AVE,NEW YORK,NY,10029,722511,Corporation,Unanswered,Unanswered,Unanswered,,25,04/16/2020,"JPMorgan Chase Bank, National Association",NY-13
"d $350,000-1 million","1325 SOUTH LAMAR HOTEL, LP",320 W MAIN ST,LEWISVILLE,TX,75057,531390,Partnership,Unanswered,Unanswered,Unanswered,,97,04/10/2020,Inwood National Bank,TX-26
"e $150,000-350,000",1326 RESTAURANT LLC,1326 restaurant llc,new york,NY,10021,722515,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,25,04/15/2020,"Readycap Lending, LLC",NY-12
"e $150,000-350,000",1327 ST. CHARLES GROUP LLC,1327 SAINT CHARLES ST,HOUMA,LA,70360,722511,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,60,04/07/2020,"The First, A National Banking Association",LA-06
"e $150,000-350,000",133 ESSEX RESTAURANT LLC,133 Essex St,New York,NY,10002,722511,Limited  Liability Company(LLC),Asian,Male Owned,Non-Veteran,,40,04/27/2020,"Grow America Fund, Incorporated",NY-12
"e $150,000-350,000",133 MULBERRY OPERATING CORP.,133 Mulberry Street,NEW YORK,NY,10013,722511,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,27,04/09/2020,"JPMorgan Chase Bank, National Association",NY-10
"d $350,000-1 million",1330 DENTAL ASSOCIATES PA,1330 CONGRESS ST Ste 3,PORTLAND,ME,4102,621210,Professional Association,Unanswered,Unanswered,Unanswered,,25,04/10/2020,"TD Bank, National Association",ME-01
"e $150,000-350,000","1331 ST. NICKS FOOD, LLC",11411 LEFFERTS BLVD,SOUTH OZONE PARK,NY,11420,445110,Partnership,Unanswered,Unanswered,Unanswered,,46,08/04/2020,Trenton Business Assistance Corporation,NY-05
"d $350,000-1 million","1332 FULTON AVENUE DAY CARE CENTER, INC.",1332 FULTON AVE,BRONX,NY,10456,624410,Corporation,Unanswered,Unanswered,Unanswered,,85,05/01/2020,"JPMorgan Chase Bank, National Association",NY-15
"e $150,000-350,000",1336 U STREET LLC,1336 U ST NW,WASHINGTON,DC,20009,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,26,04/15/2020,Old Dominion National Bank,DC-00
"e $150,000-350,000",134 WEST 3RD ST. REST. INC.,134 W. 3rd St,NEW YORK,NY,10012,722511,Corporation,White,Male Owned,Non-Veteran,,46,04/11/2020,"TD Bank, National Association",NY-12
"e $150,000-350,000",1341 GEORGE DIETER INC,1341 GEORGE DIETER DR,EL PASO,TX,79936,722511,Corporation,Unanswered,Unanswered,Unanswered,,48,04/30/2020,"Bank of America, National Association",TX-16
"e $150,000-350,000","1349 MAIN, GORENFLO'S BUFFALO WHOLESALE LOCK COMPANY INCORPO",1349 Main Steet,BUFFALO,NY,14209,561622,Corporation,Unanswered,Unanswered,Unanswered,,26,04/14/2020,KeyBank National Association,NY-26
"e $150,000-350,000",135 E BROADWAY LLC,135 E. Broadway Ave,JACKSON,WY,83001,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,33,04/12/2020,First Interstate Bank,WY-00
"e $150,000-350,000",135 FOODS INC,3140 N. OXFORD ST,CLAREMONT,NC,28610,722511,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,92,04/06/2020,Peoples Bank,NC-10
"e $150,000-350,000",135 FUTURE L & M CORP.,24 West 135 Street,New York,NY,10037,445110,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,42,04/30/2020,Popular Bank,NY-13
"e $150,000-350,000",135 N CENTER LLC,135 N CENTER ST,NORTHVILLE,MI,48167,999990,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,36,05/03/2020,"Bank of America, National Association",MI-11
"d $350,000-1 million",135 STUDIO N ADR INC,135 N 5TH ST,BROOKLYN,NY,11249,722511,Corporation,Unanswered,Male Owned,Unanswered,,41,04/30/2020,"JPMorgan Chase Bank, National Association",NY-12
c $1-2 million,"135 WEST 30TH HOTEL, LLC",135 W 30th St,New York,NY,10001,721110,Limited  Liability Company(LLC),Unanswered,Unanswered,Non-Veteran,,75,04/14/2020,First Republic Bank,NY-10
"d $350,000-1 million",135 WEST B FOOD & DRINK LLC,135 W BROADWAY,NEW YORK,NY,10013,722410,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,44,04/14/2020,"Newtek Small Business Finance, Inc.",NY-10
"e $150,000-350,000",1350 FOOD & BEVERAGE,1350 SW 2nd Street,POMPANO BEACH,FL,33069,722410,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,54,06/18/2020,Truist Bank d/b/a Branch Banking & Trust Co,FL-20
"e $150,000-350,000",1350 OCEAN LLC,1350 N OCEAN BLVD,POMPANO BEACH,FL,33062,551112,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,41,05/01/2020,"Bank of America, National Association",FL-22
"d $350,000-1 million",1355 FRONT STREET VENTURE LLC,1323 N FRONT ST SUITE 300,PHILADELPHIA,PA,19122,722511,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,149,04/28/2020,Firstrust Savings Bank,PA-02
"e $150,000-350,000",1356 RESTAURANT LLC,1356 First Ave,New York,NY,10021,722511,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,40,05/03/2020,"Citibank, N.A.",NY-12
"e $150,000-350,000",1359 BWAY CORP.,1359 Broadway,New York,NY,10018,722513,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,29,05/28/2020,Valley National Bank,NY-12
